Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","AFG","Afghanistan","5110","Area","6610","Agricultural land","2020","2020","1000 ha","38313","I","Imputed value"
"RL","Land Use","AFG","Afghanistan","5110","Area","6621","Arable land","2020","2020","1000 ha","7829","I","Imputed value"
"RL","Land Use","AFG","Afghanistan","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","30262","A","Official figure"
"RL","Land Use","ALB","Albania","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1165.555","A","Official figure"
"RL","Land Use","ALB","Albania","5110","Area","6621","Arable land","2020","2020","1000 ha","599.6","A","Official figure"
"RL","Land Use","ALB","Albania","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","478","A","Official figure"
"RL","Land Use","DZA","Algeria","5110","Area","6610","Agricultural land","2020","2020","1000 ha","41316.071","I","Imputed value"
"RL","Land Use","DZA","Algeria","5110","Area","6621","Arable land","2020","2020","1000 ha","7530.6","I","Imputed value"
"RL","Land Use","DZA","Algeria","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","32806.5","I","Imputed value"
"RL","Land Use","ASM","American Samoa","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2.87","I","Imputed value"
"RL","Land Use","ASM","American Samoa","5110","Area","6621","Arable land","2020","2020","1000 ha","0.96","I","Imputed value"
"RL","Land Use","ASM","American Samoa","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","0","I","Imputed value"
"RL","Land Use","AND","Andorra","5110","Area","6610","Agricultural land","2020","2020","1000 ha","18.7773","I","Imputed value"
"RL","Land Use","AND","Andorra","5110","Area","6621","Arable land","2020","2020","1000 ha","0.7689","A","Official figure"
"RL","Land Use","AND","Andorra","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","18","I","Imputed value"
"RL","Land Use","AGO","Angola","5110","Area","6610","Agricultural land","2020","2020","1000 ha","45892","I","Imputed value"
"RL","Land Use","AGO","Angola","5110","Area","6621","Arable land","2020","2020","1000 ha","5368","I","Imputed value"
"RL","Land Use","AGO","Angola","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","40207","I","Imputed value"
"RL","Land Use","ATG","Antigua and Barbuda","5110","Area","6610","Agricultural land","2020","2020","1000 ha","9","I","Imputed value"
"RL","Land Use","ATG","Antigua and Barbuda","5110","Area","6621","Arable land","2020","2020","1000 ha","4","I","Imputed value"
"RL","Land Use","ATG","Antigua and Barbuda","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","4","I","Imputed value"
"RL","Land Use","ARG","Argentina","5110","Area","6610","Agricultural land","2020","2020","1000 ha","117757.7597","I","Imputed value"
"RL","Land Use","ARG","Argentina","5110","Area","6621","Arable land","2020","2020","1000 ha","42008.7597","I","Imputed value"
"RL","Land Use","ARG","Argentina","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","74681","I","Imputed value"
"RL","Land Use","ARM","Armenia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1676","A","Official figure"
"RL","Land Use","ARM","Armenia","5110","Area","6621","Arable land","2020","2020","1000 ha","444","A","Official figure"
"RL","Land Use","ARM","Armenia","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1172","A","Official figure"
"RL","Land Use","ABW","Aruba","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2","I","Imputed value"
"RL","Land Use","ABW","Aruba","5110","Area","6621","Arable land","2020","2020","1000 ha","2","I","Imputed value"
"RL","Land Use","AUS","Australia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","355775","I","Imputed value"
"RL","Land Use","AUS","Australia","5110","Area","6621","Arable land","2020","2020","1000 ha","30644","I","Imputed value"
"RL","Land Use","AUS","Australia","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","324779","A","Official figure"
"RL","Land Use","AUT","Austria","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2602.6654","A","Official figure"
"RL","Land Use","AUT","Austria","5110","Area","6621","Arable land","2020","2020","1000 ha","1324.9714","A","Official figure"
"RL","Land Use","AUT","Austria","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1209.98","A","Official figure"
"RL","Land Use","AZE","Azerbaijan","5110","Area","6610","Agricultural land","2020","2020","1000 ha","4780.1","A","Official figure"
"RL","Land Use","AZE","Azerbaijan","5110","Area","6621","Arable land","2020","2020","1000 ha","2084.3","A","Official figure"
"RL","Land Use","AZE","Azerbaijan","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2423","A","Official figure"
"RL","Land Use","BHS","Bahamas","5110","Area","6610","Agricultural land","2020","2020","1000 ha","13","I","Imputed value"
"RL","Land Use","BHS","Bahamas","5110","Area","6621","Arable land","2020","2020","1000 ha","8","I","Imputed value"
"RL","Land Use","BHS","Bahamas","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2","I","Imputed value"
"RL","Land Use","BHR","Bahrain","5110","Area","6610","Agricultural land","2020","2020","1000 ha","8.1","I","Imputed value"
"RL","Land Use","BHR","Bahrain","5110","Area","6621","Arable land","2020","2020","1000 ha","2.1","A","Official figure"
"RL","Land Use","BHR","Bahrain","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","4","I","Imputed value"
"RL","Land Use","BGD","Bangladesh","5110","Area","6610","Agricultural land","2020","2020","1000 ha","9928","I","Imputed value"
"RL","Land Use","BGD","Bangladesh","5110","Area","6621","Arable land","2020","2020","1000 ha","8000","I","Imputed value"
"RL","Land Use","BGD","Bangladesh","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","600","I","Imputed value"
"RL","Land Use","BRB","Barbados","5110","Area","6610","Agricultural land","2020","2020","1000 ha","10","I","Imputed value"
"RL","Land Use","BRB","Barbados","5110","Area","6621","Arable land","2020","2020","1000 ha","7","I","Imputed value"
"RL","Land Use","BRB","Barbados","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2","I","Imputed value"
"RL","Land Use","BLR","Belarus","5110","Area","6610","Agricultural land","2020","2020","1000 ha","8281","A","Official figure"
"RL","Land Use","BLR","Belarus","5110","Area","6621","Arable land","2020","2020","1000 ha","5660","A","Official figure"
"RL","Land Use","BLR","Belarus","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2521","A","Official figure"
"RL","Land Use","BEL","Belgium","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1364.6093","A","Official figure"
"RL","Land Use","BEL","Belgium","5110","Area","6621","Arable land","2020","2020","1000 ha","864.8766","A","Official figure"
"RL","Land Use","BEL","Belgium","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","476.1192","A","Official figure"
"RL","Land Use","BLZ","Belize","5110","Area","6610","Agricultural land","2020","2020","1000 ha","180","I","Imputed value"
"RL","Land Use","BLZ","Belize","5110","Area","6621","Arable land","2020","2020","1000 ha","98","I","Imputed value"
"RL","Land Use","BLZ","Belize","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","50","I","Imputed value"
"RL","Land Use","BEN","Benin","5110","Area","6610","Agricultural land","2020","2020","1000 ha","3950","I","Imputed value"
"RL","Land Use","BEN","Benin","5110","Area","6621","Arable land","2020","2020","1000 ha","2800","I","Imputed value"
"RL","Land Use","BEN","Benin","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","550","I","Imputed value"
"RL","Land Use","BMU","Bermuda","5110","Area","6610","Agricultural land","2020","2020","1000 ha","0.3","I","Imputed value"
"RL","Land Use","BMU","Bermuda","5110","Area","6621","Arable land","2020","2020","1000 ha","0.3","I","Imputed value"
"RL","Land Use","BTN","Bhutan","5110","Area","6610","Agricultural land","2020","2020","1000 ha","513","I","Imputed value"
"RL","Land Use","BTN","Bhutan","5110","Area","6621","Arable land","2020","2020","1000 ha","94","I","Imputed value"
"RL","Land Use","BTN","Bhutan","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","413","I","Imputed value"
"RL","Land Use","BOL","Bolivia (Plurinational State of)","5110","Area","6610","Agricultural land","2020","2020","1000 ha","38007.6741","I","Imputed value"
"RL","Land Use","BOL","Bolivia (Plurinational State of)","5110","Area","6621","Arable land","2020","2020","1000 ha","4756.6741","I","Imputed value"
"RL","Land Use","BOL","Bolivia (Plurinational State of)","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","33000","I","Imputed value"
"RL","Land Use","BIH","Bosnia and Herzegovina","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2242","A","Official figure"
"RL","Land Use","BIH","Bosnia and Herzegovina","5110","Area","6621","Arable land","2020","2020","1000 ha","1015","A","Official figure"
"RL","Land Use","BIH","Bosnia and Herzegovina","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1120","A","Official figure"
"RL","Land Use","BWA","Botswana","5110","Area","6610","Agricultural land","2020","2020","1000 ha","25862","I","Imputed value"
"RL","Land Use","BWA","Botswana","5110","Area","6621","Arable land","2020","2020","1000 ha","260","A","Official figure"
"RL","Land Use","BWA","Botswana","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","25600","I","Imputed value"
"RL","Land Use","BRA","Brazil","5110","Area","6610","Agricultural land","2020","2020","1000 ha","238747.081","I","Imputed value"
"RL","Land Use","BRA","Brazil","5110","Area","6621","Arable land","2020","2020","1000 ha","57630.28","I","Imputed value"
"RL","Land Use","BRA","Brazil","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","173360.801","I","Imputed value"
"RL","Land Use","VGB","British Virgin Islands","5110","Area","6610","Agricultural land","2020","2020","1000 ha","7","I","Imputed value"
"RL","Land Use","VGB","British Virgin Islands","5110","Area","6621","Arable land","2020","2020","1000 ha","1","I","Imputed value"
"RL","Land Use","VGB","British Virgin Islands","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","5","I","Imputed value"
"RL","Land Use","BRN","Brunei Darussalam","5110","Area","6610","Agricultural land","2020","2020","1000 ha","13.4","I","Imputed value"
"RL","Land Use","BRN","Brunei Darussalam","5110","Area","6621","Arable land","2020","2020","1000 ha","4","I","Imputed value"
"RL","Land Use","BRN","Brunei Darussalam","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","3.4","I","Imputed value"
"RL","Land Use","BGR","Bulgaria","5110","Area","6610","Agricultural land","2020","2020","1000 ha","5047","A","Official figure"
"RL","Land Use","BGR","Bulgaria","5110","Area","6621","Arable land","2020","2020","1000 ha","3492","A","Official figure"
"RL","Land Use","BGR","Bulgaria","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1404","A","Official figure"
"RL","Land Use","BFA","Burkina Faso","5110","Area","6610","Agricultural land","2020","2020","1000 ha","12614","I","Imputed value"
"RL","Land Use","BFA","Burkina Faso","5110","Area","6621","Arable land","2020","2020","1000 ha","6004","I","Imputed value"
"RL","Land Use","BFA","Burkina Faso","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","6000","I","Imputed value"
"RL","Land Use","BDI","Burundi","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2076","I","Imputed value"
"RL","Land Use","BDI","Burundi","5110","Area","6621","Arable land","2020","2020","1000 ha","1243","I","Imputed value"
"RL","Land Use","BDI","Burundi","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","483","I","Imputed value"
"RL","Land Use","CPV","Cabo Verde","5110","Area","6610","Agricultural land","2020","2020","1000 ha","79","I","Imputed value"
"RL","Land Use","CPV","Cabo Verde","5110","Area","6621","Arable land","2020","2020","1000 ha","50","I","Imputed value"
"RL","Land Use","CPV","Cabo Verde","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","25","I","Imputed value"
"RL","Land Use","KHM","Cambodia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","6045.3877","I","Imputed value"
"RL","Land Use","KHM","Cambodia","5110","Area","6621","Arable land","2020","2020","1000 ha","4090.3877","I","Imputed value"
"RL","Land Use","KHM","Cambodia","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1500","I","Imputed value"
"RL","Land Use","CMR","Cameroon","5110","Area","6610","Agricultural land","2020","2020","1000 ha","9750","I","Imputed value"
"RL","Land Use","CMR","Cameroon","5110","Area","6621","Arable land","2020","2020","1000 ha","6200","I","Imputed value"
"RL","Land Use","CMR","Cameroon","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2000","I","Imputed value"
"RL","Land Use","CAN","Canada","5110","Area","6610","Agricultural land","2020","2020","1000 ha","57117.4","I","Imputed value"
"RL","Land Use","CAN","Canada","5110","Area","6621","Arable land","2020","2020","1000 ha","38235","A","Official figure"
"RL","Land Use","CAN","Canada","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","18716.4","I","Imputed value"
"RL","Land Use","CYM","Cayman Islands","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2.7","I","Imputed value"
"RL","Land Use","CYM","Cayman Islands","5110","Area","6621","Arable land","2020","2020","1000 ha","0.2","I","Imputed value"
"RL","Land Use","CYM","Cayman Islands","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2","I","Imputed value"
"RL","Land Use","CAF","Central African Republic","5110","Area","6610","Agricultural land","2020","2020","1000 ha","4909","I","Imputed value"
"RL","Land Use","CAF","Central African Republic","5110","Area","6621","Arable land","2020","2020","1000 ha","1800","I","Imputed value"
"RL","Land Use","CAF","Central African Republic","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2990","I","Imputed value"
"RL","Land Use","TCD","Chad","5110","Area","6610","Agricultural land","2020","2020","1000 ha","50338","I","Imputed value"
"RL","Land Use","TCD","Chad","5110","Area","6621","Arable land","2020","2020","1000 ha","5300","I","Imputed value"
"RL","Land Use","TCD","Chad","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","45000","I","Imputed value"
"RL","Land Use","CHA","Channel Islands","5110","Area","6610","Agricultural land","2020","2020","1000 ha","8.57","I","Imputed value"
"RL","Land Use","CHA","Channel Islands","5110","Area","6621","Arable land","2020","2020","1000 ha","3.63","I","Imputed value"
"RL","Land Use","CHA","Channel Islands","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","4.94","I","Imputed value"
"RL","Land Use","CHL","Chile","5110","Area","6610","Agricultural land","2020","2020","1000 ha","10964.163","I","Imputed value"
"RL","Land Use","CHL","Chile","5110","Area","6621","Arable land","2020","2020","1000 ha","1310.907","I","Imputed value"
"RL","Land Use","CHL","Chile","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","9157.163","I","Imputed value"
"RL","Land Use","F351","China","5110","Area","6610","Agricultural land","2020","2020","1000 ha","521489.1","E","Estimated value"
"RL","Land Use","F351","China","5110","Area","6621","Arable land","2020","2020","1000 ha","109564.1","E","Estimated value"
"RL","Land Use","F351","China","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","392834","E","Estimated value"
"RL","Land Use","HKG","China, Hong Kong SAR","5110","Area","6610","Agricultural land","2020","2020","1000 ha","4","A","Official figure"
"RL","Land Use","HKG","China, Hong Kong SAR","5110","Area","6621","Arable land","2020","2020","1000 ha","2","I","Imputed value"
"RL","Land Use","HKG","China, Hong Kong SAR","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1","I","Imputed value"
"RL","Land Use","CHN","China, mainland","5110","Area","6610","Agricultural land","2020","2020","1000 ha","520695","I","Imputed value"
"RL","Land Use","CHN","China, mainland","5110","Area","6621","Arable land","2020","2020","1000 ha","108962","I","Imputed value"
"RL","Land Use","CHN","China, mainland","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","392833","I","Imputed value"
"RL","Land Use","TWN","China, Taiwan Province of","5110","Area","6610","Agricultural land","2020","2020","1000 ha","790.1","A","Official figure"
"RL","Land Use","TWN","China, Taiwan Province of","5110","Area","6621","Arable land","2020","2020","1000 ha","600.1","I","Imputed value"
"RL","Land Use","COL","Colombia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","44052.278","I","Imputed value"
"RL","Land Use","COL","Colombia","5110","Area","6621","Arable land","2020","2020","1000 ha","2043","I","Imputed value"
"RL","Land Use","COL","Colombia","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","39504.278","A","Official figure"
"RL","Land Use","COM","Comoros","5110","Area","6610","Agricultural land","2020","2020","1000 ha","133","I","Imputed value"
"RL","Land Use","COM","Comoros","5110","Area","6621","Arable land","2020","2020","1000 ha","65","I","Imputed value"
"RL","Land Use","COM","Comoros","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","15","I","Imputed value"
"RL","Land Use","COG","Congo","5110","Area","6610","Agricultural land","2020","2020","1000 ha","10639","I","Imputed value"
"RL","Land Use","COG","Congo","5110","Area","6621","Arable land","2020","2020","1000 ha","550","I","Imputed value"
"RL","Land Use","COG","Congo","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","10000","I","Imputed value"
"RL","Land Use","COK","Cook Islands","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1.9","I","Imputed value"
"RL","Land Use","COK","Cook Islands","5110","Area","6621","Arable land","2020","2020","1000 ha","0.5","I","Imputed value"
"RL","Land Use","CRI","Costa Rica","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1786","I","Imputed value"
"RL","Land Use","CRI","Costa Rica","5110","Area","6621","Arable land","2020","2020","1000 ha","243","I","Imputed value"
"RL","Land Use","CRI","Costa Rica","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1200","I","Imputed value"
"RL","Land Use","CIV","Côte d'Ivoire","5110","Area","6610","Agricultural land","2020","2020","1000 ha","23300","I","Imputed value"
"RL","Land Use","CIV","Côte d'Ivoire","5110","Area","6621","Arable land","2020","2020","1000 ha","3500","I","Imputed value"
"RL","Land Use","CIV","Côte d'Ivoire","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","13200","I","Imputed value"
"RL","Land Use","HRV","Croatia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1505","A","Official figure"
"RL","Land Use","HRV","Croatia","5110","Area","6621","Arable land","2020","2020","1000 ha","889","A","Official figure"
"RL","Land Use","HRV","Croatia","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","537","A","Official figure"
"RL","Land Use","CUB","Cuba","5110","Area","6610","Agricultural land","2020","2020","1000 ha","6401","A","Official figure"
"RL","Land Use","CUB","Cuba","5110","Area","6621","Arable land","2020","2020","1000 ha","2908.6","I","Imputed value"
"RL","Land Use","CUB","Cuba","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2839.4","I","Imputed value"
"RL","Land Use","CYP","Cyprus","5110","Area","6610","Agricultural land","2020","2020","1000 ha","127.6493","A","Official figure"
"RL","Land Use","CYP","Cyprus","5110","Area","6621","Arable land","2020","2020","1000 ha","99.4483","A","Official figure"
"RL","Land Use","CYP","Cyprus","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2.257","A","Official figure"
"RL","Land Use","CZE","Czechia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","3523.871","A","Official figure"
"RL","Land Use","CZE","Czechia","5110","Area","6621","Arable land","2020","2020","1000 ha","2484.154","A","Official figure"
"RL","Land Use","CZE","Czechia","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","989.609","A","Official figure"
"RL","Land Use","PRK","Democratic People's Republic of Korea","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2595","I","Imputed value"
"RL","Land Use","PRK","Democratic People's Republic of Korea","5110","Area","6621","Arable land","2020","2020","1000 ha","2295","I","Imputed value"
"RL","Land Use","PRK","Democratic People's Republic of Korea","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","50","I","Imputed value"
